Date,Close,High,Low,Open,Volume,MA50,MA200,Year
2020-04-21,1510.316162109375,1559.815445899404,1501.667840398612,1534.087985883076,5122541,1669.5220532226563,,2020
2020-04-22,1537.9993896484375,1555.8174102688347,1494.2366138812797,1510.3162910265162,3829836,1663.9078686523437,,2020
2020-04-23,1632.5220947265625,1651.4265832452913,1530.481294099705,1547.1259569350625,5934366,1659.5145458984375,,2020
2020-04-24,1580.6324462890625,1609.6627000241397,1571.2888492796994,1599.8845171073644,2987102,1654.3975122070312,,2020
2020-04-27,1596.32080078125,1629.6970169075296,1586.2384297899953,1592.583425949182,3374741,1649.4527392578125,,2020
2020-04-28,1615.8341064453125,1623.6131527187852,1592.844445414054,1621.005636948894,2678505,1644.45990234375,,2020
2020-04-29,1656.3372802734375,1662.3345869800153,1608.0113488770903,1628.8279712781014,4241510,1640.4246801757813,,2020
2020-04-30,1750.9033203125,1766.1573298484207,1688.1056495046514,1720.9603903050554,5915544,1637.9813623046875,,2020
2020-05-04,1677.892822265625,1708.7919252046543,1663.2907982637025,1708.7919252046543,3729348,1633.7119750976562,,2020
2020-05-05,1679.891845703125,1718.3526989807674,1674.8941077065952,1699.3178147826648,2905528,1629.6163110351563,,2020
2020-05-06,1654.5556640625,1698.1011565179676,1645.863944765996,1686.0197515758982,3517431,1624.6851782226563,,2020
2020-05-07,1644.1690673828125,1681.369561529843,1636.9548980783202,1660.118350736626,3166754,1619.3305932617188,,2020
2020-05-08,1645.68994140625,1685.7587409956707,1639.4753416875915,1685.4110510484586,2686530,1614.3412158203125,,2020
2020-05-11,1682.1082763671875,1696.1019215380302,1659.2490149160042,1659.2490149160042,2449841,1610.7627270507812,,2020
2020-05-12,1694.450439453125,1700.534642108253,1660.335445994015,1680.4567945663457,3256595,1608.14640625,,2020
2020-05-13,1694.5809326171875,1733.1286832641551,1673.720808044299,1733.1286832641551,2656665,1604.8286010742188,,2020
2020-05-14,1653.468994140625,1671.504309444714,1643.6908111444325,1660.1181797980512,2263146,1601.2502709960938,,2020
2020-05-15,1645.2550048828125,1666.54970988558,1621.178886995162,1665.332848379697,3173682,1597.8200341796876,,2020
2020-05-18,1691.060791015625,1697.4491831230816,1627.1766577408926,1657.510777617891,3727694,1597.12396484375,,2020
2020-05-19,1693.7113037109375,1709.1824949342044,1654.0335979166266,1654.0335979166266,3198693,1596.4610522460937,,2020
2020-05-20,1698.0145263671875,1706.0978690184097,1678.9796369079363,1694.8855281506228,2778505,1595.2819360351561,,2020
2020-05-21,1730.695068359375,1736.6054797997292,1687.1930778332528,1691.408540385522,3400908,1593.94533203125,,2020
2020-05-22,1756.031494140625,1766.157368383115,1704.663454105012,1718.4398080271558,3663418,1592.3932275390625,,2020
2020-05-26,1688.8009033203125,1759.203823119049,1673.1558100317043,1751.381276474745,4575317,1589.6449365234375,,2020
2020-05-27,1742.9501953125,1747.0352601973116,1687.2797009243936,1702.707499863947,3482160,1590.4664111328125,,2020
2020-05-28,1742.0811767578125,1750.5121012403388,1713.3985057841626,1728.3482191243363,3475681,1591.5923608398436,,2020
2020-05-29,1714.3111572265625,1740.647107952109,1705.6629393550168,1722.6986871909753,7237735,1595.3356689453126,,2020
2020-06-01,1777.673828125,1790.4941136474758,1721.9164295309608,1729.652080659455,3747773,1599.717197265625,,2020
2020-06-02,1779.3250732421875,1808.746517479492,1773.1539746764722,1790.6677015826758,2443886,1606.0283325195312,,2020
2020-06-03,1783.68359375,1799.0259622608462,1760.8879194509555,1788.6524997461158,3699799,1613.0893237304688,,2020
2020-06-04,1823.2601318359375,1830.626180330102,1784.2067307574457,1784.2067307574457,4048593,1621.0039721679686,,2020
2020-06-05,1785.5142822265625,1828.882687226329,1778.5840972587184,1823.3037212604454,3573289,1628.2688696289063,,2020
2020-06-08,1805.9998779296875,1826.267524683333,1797.5877999980617,1811.6661017532872,2957841,1633.1430078125,,2020
2020-06-09,1806.2613525390625,1826.7033011033075,1795.9749349072247,1798.45944113349,2909439,1640.243115234375,,2020
2020-06-10,1838.2537841796875,1858.5214311184795,1807.5254162402284,1810.6200887677085,5168397,1647.4015893554688,,2020
2020-06-11,1802.42578125,1834.984861426736,1797.326307310458,1830.626227551613,2269513,1653.0238720703126,,2020
2020-06-12,1777.8865966796875,1786.342303067,1753.0423858410647,1753.216688615503,2842642,1657.4487377929688,,2020
2020-06-15,1769.5181884765625,1794.8854161548834,1744.281634683936,1777.5380321811451,2399022,1661.1230249023438,,2020
2020-06-16,1783.3787841796875,1807.9178092155557,1770.4771845829816,1800.115896683337,2146528,1665.874150390625,,2020
2020-06-17,1785.1219482421875,1794.7545706769424,1766.5977561845427,1783.55279764429,2703527,1669.8326928710937,,2020
2020-06-18,1776.666259765625,1795.0596728240969,1765.420963459673,1782.6811955955022,1944389,1675.6620654296876,,2020
2020-06-19,1782.3323974609375,1821.9088110992639,1771.3486622744997,1780.0659293132521,5681758,1682.5530322265624,,2020
